,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Market Sizes | Historical | Period growth,,,,,,,
Geography,Category,Data Type,Unit,Current Constant,2020 - 2025 %,2020 - 2025 CAGR %,2020 - 2025 Absolute
China,Financial Cards in Circulation,Number of Cards,000 cards,-,8.5,1.6,1489359.9
China,ATM Cards,Number of Cards,000 cards,-,14.9,2.8,1410004.1
China,Charge Cards,Number of Cards,000 cards,-,-,-,-
China,Credit Cards,Number of Cards,000 cards,-,7.9,1.5,114295.3
China,Debit Cards,Number of Cards,000 cards,-,14.0,2.7,1147668.6
China,Pre-Paid Cards,Number of Cards,000 cards,-,2.6,0.5,209591.5
China,Store Cards,Number of Cards,000 cards,-,-,-,-
China,Transactions,Retail Value RSP,CNY million,Current Prices,13.9,2.6,49106213.1
China,Total Card Transactions,Retail Value RSP,CNY million,Current Prices,-1.7,-0.3,-2604132.5
China,ATM Transactions,Retail Value RSP,CNY million,Current Prices,-18.7,-4.0,-7407800.0
China,Card Payment Transactions,Retail Value RSP,CNY million,Current Prices,4.3,0.9,4803667.5
China,Charge Card Transactions,Retail Value RSP,CNY million,Current Prices,-,-,-
China,Credit Card Transactions,Retail Value RSP,CNY million,Current Prices,-15.7,-3.4,-6605040.4
China,Debit Card Transactions,Retail Value RSP,CNY million,Current Prices,16.8,3.2,11453303.3
China,Pre-Paid Card Transactions,Retail Value RSP,CNY million,Current Prices,-6.5,-1.3,-44595.5
China,Store Card Transactions,Retail Value RSP,CNY million,Current Prices,-,-,-
China,Commercial Payment Transactions,Retail Value RSP,CNY million,Current Prices,30.9,5.5,51202887.3
China,Personal Payment Transactions,Retail Value RSP,CNY million,Current Prices,3.6,0.7,5311125.7
China,Total Non-Card Transactions,Retail Value RSP,CNY million,Current Prices,25.5,4.7,51710345.6
China,Mobile Payments,Retail Value RSP,CNY million,Current Prices,79.1,12.4,12725657.9
"Hong Kong, China",Financial Cards in Circulation,Number of Cards,000 cards,-,-9.7,-2.0,-7260.4
"Hong Kong, China",ATM Cards,Number of Cards,000 cards,-,4.2,0.8,1713.9
"Hong Kong, China",Charge Cards,Number of Cards,000 cards,-,-17.4,-3.8,-89.1
"Hong Kong, China",Credit Cards,Number of Cards,000 cards,-,14.0,2.7,2712.9
"Hong Kong, China",Debit Cards,Number of Cards,000 cards,-,5.0,1.0,1027.7
"Hong Kong, China",Pre-Paid Cards,Number of Cards,000 cards,-,-30.4,-7.0,-10746.6
"Hong Kong, China",Store Cards,Number of Cards,000 cards,-,-,-,-
"Hong Kong, China",Transactions,Retail Value RSP,HKD million,Current Prices,20.8,3.9,939366.0
"Hong Kong, China",Total Card Transactions,Retail Value RSP,HKD million,Current Prices,40.0,7.0,416602.5
"Hong Kong, China",ATM Transactions,Retail Value RSP,HKD million,Current Prices,-34.4,-8.1,-10037.9
"Hong Kong, China",Card Payment Transactions,Retail Value RSP,HKD million,Current Prices,42.1,7.3,426640.4
"Hong Kong, China",Charge Card Transactions,Retail Value RSP,HKD million,Current Prices,-11.5,-2.4,-4220.4
"Hong Kong, China",Credit Card Transactions,Retail Value RSP,HKD million,Current Prices,68.2,11.0,404129.9
"Hong Kong, China",Debit Card Transactions,Retail Value RSP,HKD million,Current Prices,-16.6,-3.6,-50721.0
"Hong Kong, China",Pre-Paid Card Transactions,Retail Value RSP,HKD million,Current Prices,100.2,14.9,77451.9
"Hong Kong, China",Store Card Transactions,Retail Value RSP,HKD million,Current Prices,-,-,-
"Hong Kong, China",Commercial Payment Transactions,Retail Value RSP,HKD million,Current Prices,19.5,3.6,593891.6
"Hong Kong, China",Personal Payment Transactions,Retail Value RSP,HKD million,Current Prices,24.8,4.5,355512.4
"Hong Kong, China",Total Non-Card Transactions,Retail Value RSP,HKD million,Current Prices,15.1,2.8,522763.5
"Hong Kong, China",Mobile Payments,Retail Value RSP,HKD million,Current Prices,141.9,19.3,150098.8
India,Financial Cards in Circulation,Number of Cards,000 cards,-,34.8,6.1,403400.1
India,ATM Cards,Number of Cards,000 cards,-,29.5,5.3,332356.4
India,Charge Cards,Number of Cards,000 cards,-,127.7,17.9,291.2
India,Credit Cards,Number of Cards,000 cards,-,94.0,14.2,56749.0
India,Debit Cards,Number of Cards,000 cards,-,15.9,3.0,140592.3
India,Pre-Paid Cards,Number of Cards,000 cards,-,122.5,17.3,262165.5
India,Store Cards,Number of Cards,000 cards,-,-,-,-
India,Transactions,Retail Value RSP,INR million,Current Prices,92.3,14.0,320821911.9
India,Total Card Transactions,Retail Value RSP,INR million,Current Prices,46.2,7.9,19466779.2
India,ATM Transactions,Retail Value RSP,INR million,Current Prices,11.2,2.2,3271419.3
India,Card Payment Transactions,Retail Value RSP,INR million,Current Prices,124.5,17.6,16195360.0
India,Charge Card Transactions,Retail Value RSP,INR million,Current Prices,247.6,28.3,114970.0
India,Credit Card Transactions,Retail Value RSP,INR million,Current Prices,285.2,31.0,17505568.6
India,Debit Card Transactions,Retail Value RSP,INR million,Current Prices,-25.1,-5.6,-1597225.7
India,Pre-Paid Card Transactions,Retail Value RSP,INR million,Current Prices,36.4,6.4,172047.0
India,Store Card Transactions,Retail Value RSP,INR million,Current Prices,-,-,-
India,Commercial Payment Transactions,Retail Value RSP,INR million,Current Prices,105.5,15.5,216140447.1
India,Personal Payment Transactions,Retail Value RSP,INR million,Current Prices,89.2,13.6,101410045.5
India,Total Non-Card Transactions,Retail Value RSP,INR million,Current Prices,98.7,14.7,301355132.7
India,Mobile Payments,Retail Value RSP,INR million,Current Prices,320.0,33.2,19585800.9
Indonesia,Financial Cards in Circulation,Number of Cards,000 cards,-,51.9,8.7,163079.4
Indonesia,ATM Cards,Number of Cards,000 cards,-,45.6,7.8,103395.5
Indonesia,Charge Cards,Number of Cards,000 cards,-,-9.5,-2.0,-21.2
Indonesia,Credit Cards,Number of Cards,000 cards,-,13.7,2.6,2282.7
Indonesia,Debit Cards,Number of Cards,000 cards,-,60.5,9.9,123423.3
Indonesia,Pre-Paid Cards,Number of Cards,000 cards,-,68.4,11.0,59683.9
Indonesia,Store Cards,Number of Cards,000 cards,-,-,-,-
Indonesia,Transactions,Retail Value RSP,IDR billion,Current Prices,111.6,16.2,67619002.5
Indonesia,Total Card Transactions,Retail Value RSP,IDR billion,Current Prices,54.0,9.0,1910563.4
Indonesia,ATM Transactions,Retail Value RSP,IDR billion,Current Prices,47.1,8.0,1408085.5
Indonesia,Card Payment Transactions,Retail Value RSP,IDR billion,Current Prices,92.1,13.9,502478.0
